,ID,IDPF,IDPT,Subject,Similarity
37,324,1,21,"RE: Hey, Iâ€™m going home sick.",0.94
38,2,1,1,"RE: Hey, Iâ€™m going home sick.",0.94
291,158,1,11,RE: Iâ€™m in! -  post a list,0.72
292,311,1,20,RE: Iâ€™m in! -  post a list,0.72
293,474,1,30,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.72
294,526,1,34,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.72
295,146,1,10,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.72
296,853,1,54,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.72
297,512,1,33,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.72
893,744,1,46,RE: Can someone cover for me next week?,0.71
894,285,1,18,RE: Money for coffee fund,0.9
895,274,1,17,RE: Money for coffee fund,0.9
896,248,1,16,RE: Caution downtown,0.75
897,817,1,51,RE: Caution downtown,0.75
254,180,2,12,RE: Traffic advisory for today,0.92
255,828,2,52,Resolution of incident,0.72
256,21,2,2,RE: Traffic advisory for today,0.92
257,634,2,41,Planning for staff picnic,0.78
258,272,2,17,Money for coffee fund,0.77
259,344,2,23,RE: Traffic advisory for today,0.92
260,50,2,4,RE: Traffic advisory for today,0.92
261,411,2,27,RE: Planning for staff picnic,0.77
262,273,2,17,RE: Planning for staff picnic,0.77
263,284,2,18,RE: Planning for staff picnic,0.77
264,3,2,1,RE: Planning for staff picnic,0.77
265,285,2,18,RE: Money for coffee fund,0.76
266,274,2,17,RE: Money for coffee fund,0.76
590,146,2,10,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.7
591,634,2,41,Planning for staff picnic,0.77
592,233,2,15,RE: Document stuck,0.82
593,272,2,17,Money for coffee fund,0.74
594,344,2,23,RE: Traffic advisory for today,1
595,388,2,25,RE: Resolution of incident,0.81
596,50,2,4,RE: Traffic advisory for today,1
597,778,2,49,RE: Resolution of incident,0.81
598,333,2,22,RE: Need a ride to lunch later,0.73
599,376,2,24,RE: Resolution of incident,0.81
600,853,2,54,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.7
601,512,2,33,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.7
602,345,2,23,RE: List of repairs needed,0.7
603,411,2,27,RE: Planning for staff picnic,0.88
604,273,2,17,RE: Planning for staff picnic,0.88
605,284,2,18,RE: Planning for staff picnic,0.88
606,74,2,5,RE: Need a ride to lunch later,0.73
607,3,2,1,RE: Planning for staff picnic,0.88
608,744,2,46,RE: Can someone cover for me next week?,0.72
609,285,2,18,RE: Money for coffee fund,0.86
610,274,2,17,RE: Money for coffee fund,0.86
611,51,2,4,RE: List of repairs needed,0.7
612,248,2,16,RE: Caution downtown,0.76
613,817,2,51,RE: Caution downtown,0.76
631,345,2,23,RE: List of repairs needed,0.89
632,51,2,4,RE: List of repairs needed,0.89
866,248,2,16,RE: Caution downtown,0.8
867,817,2,51,RE: Caution downtown,0.8
777,778,4,49,RE: Resolution of incident,0.81
778,333,4,22,RE: Need a ride to lunch later,0.73
779,376,4,24,RE: Resolution of incident,0.81
780,853,4,54,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.7
781,512,4,33,RE: Wellhead flow rate data - overpressure at well 1783-03?,0.7
782,345,4,23,RE: List of repairs needed,0.7
783,411,4,27,RE: Planning for staff picnic,0.88
784,273,4,17,RE: Planning for staff picnic,0.88
785,284,4,18,RE: Planning for staff picnic,0.88
786,74,4,5,RE: Need a ride to lunch later,0.73
787,3,4,1,RE: Planning for staff picnic,0.88
788,744,4,46,RE: Can someone cover for me next week?,0.72
789,285,4,18,RE: Money for coffee fund,0.86
790,274,4,17,RE: Money for coffee fund,0.86
791,51,4,4,RE: List of repairs needed,0.7
792,248,4,16,RE: Caution downtown,0.76
793,817,4,51,RE: Caution downtown,0.76
575,21,5,2,RE: Traffic advisory for today,0.72
576,233,5,15,RE: Document stuck,0.73
577,344,5,23,RE: Traffic advisory for today,0.72
578,50,5,4,RE: Traffic advisory for today,0.72
579,333,5,22,RE: Need a ride to lunch later,0.72
580,411,5,27,RE: Planning for staff picnic,0.74
581,273,5,17,RE: Planning for staff picnic,0.74
